Name,Cuisine,French,English,Italian,Chinese,Arabic,Czech,Danish,Dutch,German,Greek,Hebrew,Hungarian,Indonesian,Japanese,Korean,Norwegian,Polish,Portuguese,Russian,Serbian,Slovak,Spanish,Swedish,Thai,Turkish,Vietnamese
Bar Italia Brasserie, Italian,396.0,279.0,90.0,38.0,0.0,0.0,9.0,16.0,9.0,2.0,0.0,0.0,0.0,4.0,1.0,6.0,0.0,28.0,17.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0
Sacree fleur, French,448.0,1369.0,194.0,53.0,0.0,0.0,29.0,45.0,90.0,2.0,0.0,0.0,0.0,7.0,7.0,10.0,1.0,36.0,27.0,0.0,0.0,48.0,25.0,1.0,17.0,0.0
Restaurant L'INITIAL, French,156.0,76.0,3.0,15.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,15.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Flesh Restaurant et Canal Saint Martin, Barbecue,107.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Le Bistrot d'Yves, French,163.0,72.0,6.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0
L'Envie du jour, French,289.0,38.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Cezembre, French,224.0,142.0,13.0,9.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0
Tous, French,132.0,76.0,1.0,13.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Fromagerie Danard, Wine Bar,124.0,231.0,70.0,40.0,0.0,0.0,1.0,8.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,12.0,18.0,0.0,0.0,46.0,5.0,0.0,0.0,0.0
Ristorante Lo Spaghettino, Italian,194.0,120.0,67.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,16.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
La Bossue, French,138.0,58.0,4.0,19.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0
La Trattoria Dell'isola, Italian,230.0,65.0,89.0,21.0,1.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0
Happy Caffe, French,27.0,139.0,5.0,12.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0,2.0,9.0,1.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0
Le Clos Y, French,296.0,50.0,6.0,25.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0
Le George, Mediterranean,168.0,66.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Restaurant H, French,174.0,48.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
Joe Burger, American,253.0,71.0,12.0,10.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,0.0,1.0,27.0,1.0,0.0,0.0,0.0
Chez Imogene, French,163.0,143.0,53.0,0.0,0.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0
Seb'on, French,334.0,373.0,53.0,58.0,0.0,1.0,10.0,17.0,22.0,2.0,0.0,0.0,0.0,7.0,5.0,2.0,4.0,15.0,15.0,0.0,0.0,37.0,7.0,0.0,0.0,0.0
Pedzouille, French,198.0,30.0,7.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0
Le Taillevent, French,247.0,473.0,10.0,46.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,14.0,6.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0
La boite aux lettres, French,192.0,148.0,39.0,33.0,0.0,0.0,6.0,8.0,15.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,5.0,7.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0
La Petite Rose des Sables, French,118.0,255.0,162.0,36.0,0.0,0.0,1.0,5.0,30.0,1.0,1.0,0.0,0.0,4.0,10.0,2.0,6.0,17.0,8.0,0.0,0.0,41.0,2.0,1.0,0.0,0.0
Le Bistrot d'Indochine, Asian,243.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Etude, French,167.0,44.0,1.0,7.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Les Canailles, French,296.0,123.0,9.0,20.0,0.0,0.0,1.0,3.0,10.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Mancini, Italian,309.0,80.0,25.0,0.0,0.0,0.0,2.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,8.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0
Les Papilles, French,287.0,1336.0,71.0,77.0,0.0,0.0,15.0,9.0,9.0,2.0,0.0,0.0,0.0,11.0,3.0,15.0,1.0,38.0,47.0,0.0,0.0,26.0,17.0,0.0,2.0,0.0
Invictus, French,182.0,198.0,18.0,14.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0
Loubnane, Lebanese,590.0,199.0,87.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,14.0,1.0,0.0,2.0,0.0
Pane olio e pomodoro, Italian,182.0,49.0,33.0,2.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
New York a Paris - Restaurant Reviews, French,304.0,92.0,13.0,4.0,0.0,0.0,1.0,7.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
La Cuisine de Philippe, French,221.0,614.0,67.0,63.0,0.0,0.0,3.0,7.0,7.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,53.0,13.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0
Le Florimond, French,120.0,654.0,42.0,45.0,0.0,0.0,2.0,5.0,12.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,8.0,7.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0
Restaurant Guy Savoy, French,249.0,175.0,9.0,41.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
Pizza Julia, Italian,216.0,100.0,22.0,31.0,0.0,1.0,0.0,3.0,11.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,6.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0
La Veraison, French,278.0,168.0,13.0,33.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,10.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0
La Vache et Le Cuisinier, French,262.0,276.0,94.0,0.0,1.0,0.0,6.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,4.0,0.0,0.0,23.0,2.0,0.0,2.0,0.0
Le Quinzieme, French,900.0,35.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Le Chemise, Contemporary,252.0,274.0,28.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
Ristorante Al Caratello, Italian,391.0,428.0,176.0,58.0,1.0,0.0,9.0,21.0,33.0,6.0,0.0,1.0,0.0,7.0,2.0,4.0,1.0,28.0,1.0,0.0,0.0,29.0,5.0,0.0,1.0,0.0
Thai Spices, Thai,265.0,113.0,19.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0
L'Alsacien, Wine Bar,300.0,187.0,38.0,28.0,0.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,6.0,3.0,0.0,1.0,36.0,2.0,0.0,0.0,0.0
Chez Toinette, French,228.0,712.0,229.0,52.0,0.0,0.0,17.0,13.0,45.0,2.0,0.0,0.0,0.0,9.0,0.0,9.0,1.0,26.0,11.0,0.0,0.0,24.0,14.0,0.0,5.0,0.0
Restaurant Mariette, French,216.0,700.0,109.0,62.0,0.0,0.0,0.0,8.0,23.0,2.0,0.0,0.0,0.0,17.0,0.0,4.0,2.0,35.0,17.0,0.0,0.0,64.0,3.0,0.0,1.0,0.0
Bistrot Chez France, French,181.0,327.0,53.0,50.0,0.0,0.0,3.0,9.0,11.0,1.0,1.0,1.0,0.0,3.0,5.0,2.0,1.0,29.0,9.0,0.0,0.0,32.0,3.0,0.0,0.0,0.0
Sur Mesure, French,643.0,83.0,5.0,19.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Papelli, Italian,363.0,125.0,19.0,0.0,0.0,0.0,1.0,14.0,26.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,4.0,0.0,0.0,9.0,3.0,0.0,3.0,0.0
Apicius, French,357.0,142.0,9.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Bistrotters, French,612.0,1054.0,142.0,53.0,0.0,0.0,9.0,20.0,29.0,0.0,0.0,0.0,0.0,29.0,3.0,4.0,2.0,38.0,21.0,0.0,0.0,39.0,4.0,0.0,1.0,0.0
Midi 12, French,233.0,125.0,45.0,30.0,0.0,0.0,1.0,2.0,12.0,0.0,1.0,1.0,1.0,3.0,9.0,0.0,1.0,13.0,1.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0
Au Bon Accueil, French,136.0,444.0,35.0,48.0,0.0,0.0,2.0,7.0,11.0,0.0,0.0,0.0,0.0,27.0,6.0,2.0,0.0,12.0,4.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0
Bistro Paradis, French,203.0,57.0,13.0,18.0,0.0,0.0,7.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Le Jeroboam, French,377.0,39.0,9.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ze Kitchen Galerie, French,492.0,479.0,33.0,58.0,0.0,0.0,2.0,12.0,21.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,0.0,44.0,14.0,0.0,0.0,14.0,1.0,0.0,2.0,0.0
L'Aubergeade, French,447.0,193.0,46.0,41.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0
Le Pavillon de la Grande Cascade, French,579.0,125.0,11.0,25.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,3.0,11.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0
Les Climats, French,350.0,211.0,6.0,42.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,9.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Le Jourdain, French,210.0,56.0,20.0,25.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Chez Gabrielle, French,279.0,441.0,43.0,50.0,0.0,0.0,0.0,4.0,17.0,1.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,18.0,10.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0
Restaurant du Palais Royal, French,175.0,92.0,6.0,24.0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Sola, Fusion,386.0,162.0,18.0,24.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,45.0,4.0,1.0,0.0,6.0,5.0,0.0,0.0,18.0,2.0,1.0,0.0,0.0
L'Annexe, French,273.0,138.0,36.0,24.0,0.0,0.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0
Chez Trassoudaine, French,243.0,46.0,11.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
La Crete, Mediterranean,585.0,147.0,75.0,19.0,0.0,0.0,5.0,9.0,5.0,9.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,9.0,5.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
King Marcel - Paris 2eme - Opera / Bourse - Restaurant Reviews, French,339.0,32.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Le Petit Littre, French,178.0,159.0,10.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0
La Mandigotte, French,230.0,197.0,100.0,0.0,0.0,0.0,2.0,16.0,21.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7.0,5.0,0.0,0.0,30.0,4.0,0.0,0.0,0.0
Cobea, French,372.0,179.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,17.0,3.0,2.0,0.0,7.0,5.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0
Loco, Steakhouse,215.0,69.0,8.0,7.0,1.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,16.0,3.0,0.0,1.0,0.0
Roomies, American,456.0,204.0,58.0,38.0,0.0,0.0,3.0,5.0,22.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,9.0,4.0,0.0,0.0,25.0,3.0,0.0,2.0,0.0
L'Oiseau Blanc Restaurant, French,429.0,158.0,8.0,27.0,0.0,0.0,0.0,4.0,10.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Mobster Diner, American,298.0,76.0,51.0,24.0,0.0,0.0,5.0,5.0,16.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,6.0,1.0,0.0,0.0,42.0,1.0,0.0,0.0,0.0
L'Ange 20, French,352.0,1432.0,164.0,68.0,0.0,0.0,18.0,35.0,61.0,4.0,0.0,1.0,0.0,13.0,3.0,7.0,3.0,43.0,25.0,0.0,0.0,56.0,13.0,0.0,1.0,0.0
NEW JHELUM, Indian,159.0,68.0,7.0,9.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Les Rupins, Steakhouse,170.0,67.0,13.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Mancora Cebicheria, Peruvian,200.0,76.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
Saigon Pantheon, Asian,499.0,180.0,40.0,41.0,0.0,0.0,1.0,14.0,9.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,22.0,3.0,0.0,0.0,0.0
Les Trublions, French,133.0,71.0,10.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0
Atelier Rodier, French,391.0,115.0,17.0,23.0,0.0,0.0,2.0,4.0,18.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,5.0,2.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0
Il grano, Pizza,261.0,71.0,42.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Restaurant David Toutain, French,286.0,209.0,9.0,37.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,8.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Il Farniente, Italian,240.0,24.0,14.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
le papacionu, Italian,331.0,53.0,7.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Kitchen Galerie Bis, French,241.0,208.0,20.0,6.0,0.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Pottoka, French,498.0,304.0,20.0,44.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,12.0,7.0,1.0,0.0,26.0,7.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0
Le Pre Catelan, French,547.0,171.0,11.0,24.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,19.0,8.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0
Meriggio, Italian,162.0,48.0,11.0,7.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
La Jacobine, French,202.0,985.0,296.0,62.0,0.0,0.0,10.0,20.0,31.0,6.0,3.0,0.0,0.0,10.0,26.0,4.0,3.0,79.0,35.0,0.0,0.0,66.0,4.0,0.0,1.0,0.0
Restaurant Lasserre, French,271.0,278.0,22.0,32.0,0.0,0.0,0.0,3.0,8.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,10.0,17.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0
Chef Garozzo Restaurant Italien Sicilien, Italian,152.0,126.0,73.0,18.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,4.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0
The Hardware Societe, Cafe,91.0,69.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Auberge des Pyrenees Cevennes, French ,181.0,144.0,20.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
Fermier Gourmet, French,117.0,53.0,25.0,0.0,0.0,0.0,1.0,7.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0
Le Volant, French,180.0,203.0,31.0,24.0,0.0,0.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,11.0,8.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0
